Source,Target,Type,ID,Label,timeset,Weight
"We have: 1011111 0's, 1111010 1's.","We have: 1011011 0's, 1101110 1's.",Directed,240,,,89
"We have: 10111110 0's, 11011110 1's.","We have: 10111001 0's, 11010001 1's.",Directed,241,,,1
"We have: 10111110 0's, 11101110 1's.","We have: 10111001 0's, 11100001 1's.",Directed,242,,,92
"We have: 101111100 0's, 111011111 1's.","We have: 101110111 0's, 111010000 1's.",Directed,243,,,3
"We have: 101111101 0's, 111011110 1's.","We have: 101111000 0's, 111001111 1's.",Directed,244,,,3
"We have: 10111111 0's, 11111111 1's.","We have: 10111101 0's, 11101111 1's.",Directed,245,,,1
"We have: 101111111 0's, 111011100 1's.","We have: 101111010 0's, 111001101 1's.",Directed,246,,,4
"We have: 11 0's, 100 1's.",We have no digits.,Directed,247,,,412
"We have: 11 0's, 1100 1's.",We have: 111 1's.,Directed,248,,,27
"We have: 1100 0's, 1111 1's.","We have: 1001 0's, 1000 1's.",Directed,249,,,8
"We have: 11000 0's, 10000 1's.","We have: 10000 0's, 1100 1's.",Directed,250,,,32
"We have: 110000 0's, 100000 1's.","We have: 100110 0's, 11100 1's.",Directed,251,,,1
"We have: 1100000 0's, 1101001 1's.","We have: 1010111 0's, 1100010 1's.",Directed,252,,,14
"We have: 11000000 0's, 11101100 1's.","We have: 10110110 0's, 11100100 1's.",Directed,253,,,2
"We have: 110000000 0's, 111011011 1's.","We have: 101110110 0's, 111010001 1's.",Directed,254,,,4
"We have: 110000001 0's, 111011010 1's.","We have: 101110111 0's, 111010000 1's.",Directed,255,,,4
"We have: 11000001 0's, 11011011 1's.","We have: 10111001 0's, 11010001 1's.",Directed,256,,,11
"We have: 11000001 0's, 11101011 1's.","We have: 10111001 0's, 11100001 1's.",Directed,257,,,1
"We have: 11000001 0's, 11111101 1's.","We have: 10111010 0's, 11110010 1's.",Directed,258,,,3
"We have: 110000010 0's, 111011001 1's.","We have: 101111000 0's, 111001111 1's.",Directed,259,,,2
"We have: 1100001 0's, 1101000 1's.","We have: 1011000 0's, 1100001 1's.",Directed,260,,,214
"We have: 11000010 0's, 11011010 1's.","We have: 10111001 0's, 11010001 1's.",Directed,261,,,1
"We have: 11000010 0's, 11101010 1's.","We have: 10111001 0's, 11100001 1's.",Directed,262,,,4
"We have: 11000010 0's, 11111100 1's.","We have: 10111010 0's, 11110010 1's.",Directed,263,,,15
"We have: 110000101 0's, 111101010 1's.","We have: 101111100 0's, 111011111 1's.",Directed,264,,,2
"We have: 11000011 0's, 11111011 1's.","We have: 10111101 0's, 11101111 1's.",Directed,265,,,9
"We have: 110000110 0's, 111101001 1's.","We have: 101111101 0's, 111011110 1's.",Directed,266,,,2
"We have: 110001 0's, 101101 1's.","We have: 101011 0's, 100101 1's.",Directed,267,,,25
"We have: 110001 0's, 111010 1's.","We have: 101011 0's, 110010 1's.",Directed,268,,,353
"We have: 1100010 0's, 1110111 1's.","We have: 1011100 0's, 1101101 1's.",Directed,269,,,1
"We have: 11000100 0's, 11011000 1's.","We have: 10111010 0's, 11010000 1's.",Directed,270,,,14
